title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Asst Professor ACD YR,Computer Science,Busch,122554,162270,1/1/2015,8,212
Professor ACD YR,Political Science,Douglass,154131,161645,9/1/1992,1,214
Assoc Professor ACD YR,Physics & Astronomy,Busch,123622,161339,9/1/2007,9,214
Professor ACD YR,English,College Av,151935,161253,9/1/1987,6,215
Professor ACD YR,Statistics,Busch,124415,160934,9/1/1984,3,216
Professor ACD YR,Chem & Chemical Biology,Busch,145090,160868,7/1/1971,4,216
Assoc Professor ACD YR,Genetics,Busch,125096,160087,9/1/2011,5,218
Professor ACD YR,Chem & Chemical Biology,Busch,149676,160021,9/1/2009,1,219
Professor ACD YR,Physics & Astronomy,Busch,132184,159539,1/1/2006,4,220
Professor ACD YR,Molecular Bio&Biochem,Busch,152312,159360,1/1/1993,1,221
Professor ACD YR,Physics & Astronomy,Busch,130934,158335,9/1/2008,8,223
Professor ACD YR,Cell Bio & Neurosci,Busch,160178,158128,9/1/1978,4,224
Assoc Professor ACD YR,Psychology,Busch,120160,157983,9/1/2009,5,224
Professor ACD YR,Mathematics,Busch,158390,157837,7/1/1972,9,224
Professor ACD YR,Computer Science,Busch,157837,157535,9/1/1981,10,225
Professor ACD YR,Physics & Astronomy,Busch,135593,157035,9/1/2007,8,226
Professor ACD YR,Economics,College Av,176328,156879,9/1/1992,4,227
Professor ACD YR,Psychology,Busch,131248,156867,9/1/1998,5,227
Asst Professor ACD YR,Computer Science,Busch,117240,156853,9/1/2015,6,227
Assoc Professor ACD YR,Women's & Gender Studies,Douglass,131491,156514,7/1/2012,4,228
Professor ACD YR,Chem & Chemical Biology,Busch,142954,156490,9/1/1998,6,228
Assoc Professor ACD YR,Genetics,Busch,118576,156180,10/1/2003,5,229
Professor ACD YR,Mathematics,Busch,142972,156047,9/1/2000,8,229
Professor ACD YR,American Studies,Douglass,157027,155852,1/20/1969,2,230
Assoc Professor ACD YR,Physics & Astronomy,Busch,119581,155648,9/1/2009,4,231
Professor ACD YR,History,College Av,155797,155498,9/1/1978,6,231
Assoc Professor ACD YR,Computer Science,Busch,137675,155447,9/1/2005,1,232
Professor ACD YR,Philosophy,College Av,160129,155339,9/1/1990,6,232
Assoc Professor ACD YR,History,College Av,141001,155252,9/1/2014,7,232
Professor ACD YR,Physics & Astronomy,Busch,128446,154975,9/1/2004,5,233
Professor ACD YR,Earth & Planetary Sciences,Busch,125085,154568,9/1/1981,6,234
Professor ACD YR,Political Science,Douglass,148110,154426,9/1/2008,2,235
Assoc Professor ACD YR,Classics,College Av,155614,154187,9/1/1999,2,236
Assoc Professor ACD YR,American Studies,Douglass,155351,154151,9/1/2005,6,236
Professor ACD YR,Earth & Planetary Sciences,Busch,117627,153411,9/1/1998,7,239
Professor ACD YR,Psychology,Busch,145780,152616,9/1/1986,5,242
Assoc Professor ACD YR,History,College Av,125362,152611,9/1/2007,6,242
Professor ACD YR,Psychology,Busch,154424,152494,7/1/1992,1,243
Assoc Professor ACD YR,Genetics,Busch,115530,152451,1/1/2006,5,243
Assoc Professor ACD YR,Genetics,Busch,115244,151658,5/1/2007,3,245
Professor ACD YR,English,College Av,169857,151572,9/1/1993,6,245
Assoc Professor ACD YR,Statistics,Busch,123586,151504,9/1/2011,10,245
Assoc Professor ACD YR,Computer Science,Busch,144399,151433,9/1/1999,1,246
Professor ACD YR,History,College Av,132924,151041,9/1/2001,1,248
Professor ACD YR,Chem & Chemical Biology,Busch,137880,150936,9/1/1997,4,248
Professor ACD YR,Chem & Chemical Biology,Busch,141162,150891,7/1/1968,5,248
Professor ACD YR,Psychology,Livingston,152197,150230,9/1/1997,6,250
Assoc Professor ACD YR,Philosophy,College Av,149072,150048,9/1/2013,10,250
Professor ACD YR,Political Science,Douglass,151109,149344,9/1/2006,4,253
Asst Professor ACD YR,Computer Science,Busch,122000,148877,1/1/2017,1,254
Professor ACD YR,Computer Science,Busch,150744,148624,9/1/1979,8,254
Professor ACD YR,English,College Av,171311,148447,9/1/1988,4,255
Professor ACD YR,Psychology,Livingston,149236,148132,9/1/1986,10,255
Assoc Professor ACD YR,Genetics,Busch,111518,147672,9/1/2009,9,256
Professor ACD YR,Women's & Gender Studies,Douglass,148539,147507,7/1/1987,8,257
Asst Professor ACD YR,Computer Science,Busch,121200,147303,9/1/2016,3,258
Professor ACD YR,Physics & Astronomy,Busch,134033,147174,9/23/2002,2,259
Professor ACD YR,History,College Av,150574,146890,6/1/2006,10,259
Professor ACD YR,Physics & Astronomy,Busch,148191,146862,9/1/2002,2,260
Professor ACD YR,English,College Av,164911,146773,9/1/1983,5,260
Professor ACD YR,Cell Bio & Neurosci,Busch,146977,146696,9/1/1984,10,260
Professor ACD YR,Physics & Astronomy,Busch,147846,146467,9/1/1977,5,261
Professor ACD YR,Molecular Bio&Biochem,Busch,146626,145837,9/1/1985,1,264
Assoc Professor ACD YR,Kinesiology And Health,Douglass,120000,145702,5/19/2003,8,264
Asst Professor ACD YR,Economics,College Av,132405,145665,9/1/2016,10,264
Assoc Professor ACD YR,English,College Av,145882,145602,9/1/1984,1,265
Professor ACD YR,Economics,College Av,122651,144581,9/1/1986,9,267
Professor ACD YR,Linguistics,College Av,131954,144185,9/1/1995,10,268
Assoc Professor ACD YR,Kinesiology And Health,Douglass,113443,143758,9/1/2002,8,269
Professor ACD YR,English,College Av,143618,143343,9/1/1987,9,270
Professor ACD YR,Jewish Studies,College Av,139418,143224,9/1/2002,6,271
Assoc Professor ACD YR,Molecular Bio&Biochem,Busch,133608,142981,1/1/1997,8,272
Assoc Professor ACD YR,Physics & Astronomy,Busch,119402,142932,7/1/2006,2,273
Assoc Professor ACD YR,Philosophy,College Av,159294,142722,9/1/2015,6,273
Professor ACD YR,Sociology,Douglass,127835,142578,1/1/1989,9,273
Assoc Professor ACD YR,Statistics,Busch,143430,142471,7/1/2013,10,273
Professor ACD YR,Sociology,Douglass,135266,142144,9/1/2001,6,274
Professor ACD YR,Genetics,Busch,142643,141666,7/1/1970,6,275
Professor ACD YR,Computer Science,Busch,143339,141665,9/1/1983,7,275
Asst Professor ACD YR,Cell Bio & Neurosci,Busch,108558,141643,1/1/2012,8,275
Assoc Professor ACD YR,Psychology,Livingston,139394,141375,9/1/2005,4,276
Professor ACD YR,Mathematics,Busch,127510,141370,9/1/2005,5,276
Assoc Professor ACD YR,Africana Studies,Livingston,142935,141366,9/1/1993,7,276
Professor ACD YR,Philosophy,College Av,129812,141293,7/1/1971,2,277
Professor ACD YR,Art History,College Av,137751,141292,9/1/1997,3,277
Professor ACD YR,English,College Av,142795,141276,9/1/1988,5,277
Asst Professor ACD YR,Statistics,Busch,116001,140947,9/1/2016,3,278
Professor ACD YR,Physics & Astronomy,Busch,135104,140884,7/1/2003,6,278
Professor ACD YR,"Afri,Mdle E&So Asn Lng&Lit",College Av,142439,140472,9/1/2006,4,280
