title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Asst Professor ACD YR,Sociology,Camden,75176,73566,9/1/2014,7,866
Asst Professor ACD YR,Sociology,Camden,74242,73487,9/1/2013,4,867
Asst Professor ACD YR,Biology,Camden,74607,73459,9/1/2012,7,867
Asst Professor ACD YR,Chemistry,Camden,73917,72703,9/1/2013,8,882
Asst Professor ACD YR,Foreign Languages,Camden,70477,71850,9/1/2012,9,900
Asst Professor ACD YR,Political Science,Camden,72687,71825,9/1/2013,2,901
Asst Professor ACD YR,Psychology,Camden,72112,71725,9/1/2013,2,903
Professor ACD YR,English,Camden,137180,71487,9/1/1992,10,907
Asst Professor ACD YR,Foreign Languages,Camden,65828,71040,9/1/2016,4,916
Asst Professor ACD YR,History,Camden,73007,71014,9/1/2013,7,916
Asst Professor ACD YR,Physics,Camden,71019,70883,9/1/2013,7,919
Assoc Professor ACD YR,English,Camden,75057,70767,9/1/2011,7,921
Asst Professor ACD YR,English,Camden,71099,70552,9/1/2014,5,926
Asst Professor ACD YR,Biology,Camden,69425,69867,1/1/2015,4,943
Asst Professor ACD YR,Philosophy & Religion,Camden,71915,69797,9/1/2014,6,945
Asst Professor ACD YR,Political Science,Camden,68575,68851,9/1/2015,8,964
Assoc Professor ACD YR,Psychology,Camden,77037,68500,9/1/2010,4,971
Asst Professor ACD YR,Biology,Camden,68381,68337,9/1/2015,8,975
Assoc Professor ACD YR,Sociology,Camden,64042,68174,9/1/2010,3,978
Asst Professor ACD YR,Political Science,Camden,67500,67122,9/1/2016,2,1004
Asst Professor ACD YR,Psychology,Camden,66500,66124,9/1/2016,10,1031
Asst Professor ACD YR,History,Camden,66000,65874,1/1/2017,6,1036
Assoc Professor ACD YR,Chemistry,Camden,112000,56000,9/1/2017,9,1318
Asst Professor ACD YR,Philosophy & Religion,Camden,74500,37250,9/1/2017,9,1829
Asst Professor ACD YR,Psychology,Camden,68000,34000,9/1/2017,1,1885
Asst Professor ACD YR,Sociology,Camden,67000,33500,9/1/2017,3,1894
Asst Professor ACD YR,Psychology,Camden,67000,33500,9/1/2017,4,1894
