title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Genetics,Busch,140669,179866,9/1/2007,8,170
Professor ACD YR,Marine & Coastal Sciences,Off Campus,136460,179816,3/13/1995,9,170
Professor ACD YR,Philosophy,College Av,177572,179721,9/1/2009,1,171
Professor ACD YR,Psychology,Livingston,147785,178708,9/1/1979,5,173
Assoc Professor ACD YR,Mech & Aerospace ,Busch,135898,178697,9/1/2008,7,173
Professor ACD YR,Cell Bio & Neurosci,Busch,137126,178307,9/1/2007,10,174
Professor ACD YR,Industrial Engineering,Busch,140886,177861,9/1/2008,6,175
Professor ACD YR,Computer Science,Busch,162637,177836,9/1/1998,7,175
Professor ACD YR,Marine & Coastal Sciences,Cook,142722,177776,9/1/2001,9,175
Professor ACD YR,Mech & Aerospace ,Busch,142740,177747,9/1/2005,1,176
Professor ACD YR,Statistics,Busch,135010,177560,9/1/2007,3,176
Assoc Professor ACD YR,Earth & Planetary Sciences,Busch,134640,177487,1/1/2015,5,176
Professor ACD YR,Physics & Astronomy,Busch,145987,176904,1/1/1993,9,177
Professor ACD YR,English,College Av,147412,176669,9/1/2007,3,178
Professor ACD YR,Computer Science,Busch,177134,175921,9/1/1973,2,179
Professor ACD YR,Economics,College Av,158717,175766,7/1/2005,7,179
Professor ACD YR,Mathematics,Busch,138117,175668,9/1/2009,9,179
Professor ACD YR,Civil & Environ ,Busch,132727,175153,9/1/1998,1,181
Professor ACD YR,Statistics,Busch,161176,174940,1/1/2000,3,181
Professor ACD YR,Biochem & Microbiology,Cook,175000,174665,1/1/2017,5,181
Professor ACD YR,Environmental Science,Cook,105683,174058,9/1/2001,10,181
Assoc Professor ACD YR,Statistics,Busch,130474,173776,9/1/2012,5,182
Assoc Professor ACD YR,Economics,College Av,157868,173678,9/1/2016,2,183
Professor ACD YR,Earth & Planetary Sciences,Busch,133601,172965,1/1/2002,6,184
Assoc Professor ACD YR,Mathematics,Busch,106321,172684,1/1/2012,10,184
Professor ACD YR,Mathematics,Busch,143601,172486,9/1/2001,1,185
Assoc Professor ACD YR,Computer Science,Busch,134446,171797,9/1/2010,10,185
Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,130517,171447,9/1/2002,1,187
Professor ACD YR,Earth & Planetary Sciences,Busch,148104,170922,9/1/2011,3,188
Professor ACD YR,Sociology,Douglass,172953,170587,9/1/1988,6,188
Professor ACD YR,Economics,College Av,169784,170539,1/1/1995,8,188
Professor ACD YR,Civil & Environ ,Busch,140523,170153,9/1/1983,6,189
Professor ACD YR,Biomedical Engineering,Busch,154261,169795,1/1/1998,5,190
Professor ACD YR,Physics & Astronomy,Busch,136367,169432,9/1/2007,7,191
Professor ACD YR,Anthropology,Douglass,142567,169302,9/1/1999,2,192
Professor ACD YR,Industrial Engineering,Busch,145162,168470,9/1/1986,10,193
Professor ACD YR,Latino & Hispan Carib Stds,Livingston,169303,168232,7/1/2005,4,194
Professor ACD YR,Communication,College Av,110076,168226,9/1/2000,5,194
Professor ACD YR,Music,Douglass,158214,167649,7/1/2012,6,195
Assoc Professor ACD YR,Statistics,Busch,140000,167624,9/1/1998,8,195
Professor ACD YR,Political Science,Douglass,145538,167232,9/1/2012,1,197
Asst Professor ACD YR,Computer Science,Busch,127305,166874,1/1/2013,5,197
Professor ACD YR,Agricultural Econ & Mktg,Livingston,126805,166759,9/1/1985,10,197
Professor ACD YR,Mathematics,Busch,139437,166379,9/1/1993,1,199
Professor ACD YR,English,College Av,167763,165699,9/1/1999,4,201
Professor ACD YR,Industrial Engineering,Busch,166663,164853,9/1/1981,6,203
Professor ACD YR,Physics & Astronomy,Busch,137757,164760,9/1/1999,1,204
Professor ACD YR,Psychology,Busch,149853,164581,9/1/1987,7,204
Assoc Professor ACD YR,Economics,College Av,150990,164567,9/1/2001,8,204
Professor ACD YR,Human Ecology,Cook,149910,164466,9/1/1986,3,205
Professor ACD YR,Computer Science,Busch,171759,164449,9/1/1989,4,205
Professor ACD YR,Psychology,Busch,149683,164391,9/1/1990,6,205
Professor ACD YR,Elec & Computer ,Busch,164556,164241,9/1/1988,1,206
Assoc Professor ACD YR,Psychology,Busch,125541,164148,9/1/2008,4,206
Assoc Professor ACD YR,Elec & Computer ,Busch,124707,163987,1/1/2011,1,207
Professor ACD YR,Computer Science,Busch,131719,163774,9/1/2002,7,207
Professor ACD YR,Physics & Astronomy,Busch,140580,163592,9/1/2004,4,208
Professor ACD YR,"Germn,Russ&E Euro Lang&Lit",College Av,148315,163444,9/1/2003,9,208
Assoc Professor ACD YR,Computer Science,Busch,141260,163295,9/1/1978,8,209
Professor ACD YR,Marine & Coastal Sciences,Cook,140659,163142,8/1/1992,5,210
Professor ACD YR,Linguistics,College Av,159365,162767,9/1/1990,2,211
Professor ACD YR,History,College Av,163126,162468,9/1/1974,10,211
Professor ACD YR,Computer Science,Busch,165535,162430,9/1/2002,1,212
Asst Professor ACD YR,Computer Science,Busch,122554,162270,1/1/2015,8,212
Professor ACD YR,Marine & Coastal Sciences,Cook,123130,162143,11/21/1994,3,213
Assoc Professor ACD YR,Nutritional Sciences,Douglass,116314,161979,9/1/2001,6,213
Professor ACD YR,Political Science,Douglass,154131,161645,9/1/1992,1,214
Assoc Professor ACD YR,Physics & Astronomy,Busch,123622,161339,9/1/2007,9,214
Professor ACD YR,English,College Av,151935,161253,9/1/1987,6,215
Professor ACD YR,Statistics,Busch,124415,160934,9/1/1984,3,216
Professor ACD YR,Chem & Chemical Biology,Busch,145090,160868,7/1/1971,4,216
Professor ACD YR,Civil & Environ ,Busch,121621,160120,9/1/1992,3,218
Assoc Professor ACD YR,Genetics,Busch,125096,160087,9/1/2011,5,218
Professor ACD YR,Chem & Chemical Biology,Busch,149676,160021,9/1/2009,1,219
Professor ACD YR,Materials Science & ,Busch,161900,159686,12/1/2002,10,219
Professor ACD YR,Physics & Astronomy,Busch,132184,159539,1/1/2006,4,220
Professor ACD YR,Mech & Aerospace ,Busch,136239,159451,9/1/2010,7,220
Professor ACD YR,Molecular Bio&Biochem,Busch,152312,159360,1/1/1993,1,221
Professor ACD YR,Mech & Aerospace ,Busch,138616,159146,9/1/2003,9,221
Professor ACD YR,Animal Science,Cook,131027,158613,1/1/1995,10,222
Professor ACD YR,Marine & Coastal Sciences,Cook,120378,158345,9/1/2001,6,223
Professor ACD YR,Physics & Astronomy,Busch,130934,158335,9/1/2008,8,223
Professor ACD YR,Cell Bio & Neurosci,Busch,160178,158128,9/1/1978,4,224
Assoc Professor ACD YR,Psychology,Busch,120160,157983,9/1/2009,5,224
Professor ACD YR,Mathematics,Busch,158390,157837,7/1/1972,9,224
Professor ACD YR,Computer Science,Busch,157837,157535,9/1/1981,10,225
Professor ACD YR,Chem & Biochem ,Busch,136693,157315,9/1/2000,3,226
Professor ACD YR,Physics & Astronomy,Busch,135593,157035,9/1/2007,8,226
